fecha hora var value
2023-03-23 12:00:00 var128 296.4521
2023-03-23 12:00:00 var129 293.373
2023-03-23 12:00:00 var161 82.881
2023-03-23 13:00:00 var128 298.7502
2023-03-23 13:00:00 var129 294.0271
2023-03-23 13:00:00 var161 75.22177
2023-03-23 14:00:00 var128 300.3147
2023-03-23 14:00:00 var129 294.2783
2023-03-23 14:00:00 var161 69.66832
2023-03-23 15:00:00 var128 301.9021
2023-03-23 15:00:00 var129 294.1628
2023-03-23 15:00:00 var161 63.07491
2023-03-23 16:00:00 var128 303.2854
2023-03-23 16:00:00 var129 294.0332
2023-03-23 16:00:00 var161 57.78822
2023-03-23 17:00:00 var128 302.6182
2023-03-23 17:00:00 var129 294.9026
2023-03-23 17:00:00 var161 63.32314
2023-03-23 18:00:00 var128 302.3572
2023-03-23 18:00:00 var129 294.0813
2023-03-23 18:00:00 var161 61.1313
2023-03-23 19:00:00 var128 302.4785
2023-03-23 19:00:00 var129 293.7131
2023-03-23 19:00:00 var161 59.34578
2023-03-23 20:00:00 var128 302.6628
2023-03-23 20:00:00 var129 293.5769
2023-03-23 20:00:00 var161 58.23238
2023-03-23 21:00:00 var128 302.6367
2023-03-23 21:00:00 var129 293.4121
2023-03-23 21:00:00 var161 57.72815
2023-03-23 22:00:00 var128 302.355
2023-03-23 22:00:00 var129 293.3635
2023-03-23 22:00:00 var161 58.50066
2023-03-23 23:00:00 var128 300.9373
2023-03-23 23:00:00 var129 294.644
2023-03-23 23:00:00 var161 68.69786
2023-03-24 00:00:00 var128 299.9131
2023-03-24 00:00:00 var129 293.687
2023-03-24 00:00:00 var161 68.78276
2023-03-24 01:00:00 var128 299.4797
2023-03-24 01:00:00 var129 293.603
2023-03-24 01:00:00 var161 70.19122
2023-03-24 02:00:00 var128 299.0247
2023-03-24 02:00:00 var129 293.365
2023-03-24 02:00:00 var161 71.05038
2023-03-24 03:00:00 var128 298.6228
2023-03-24 03:00:00 var129 293.2161
2023-03-24 03:00:00 var161 72.09329
2023-03-24 04:00:00 var128 298.4409
2023-03-24 04:00:00 var129 293.2637
2023-03-24 04:00:00 var161 73.09496
2023-03-24 05:00:00 var128 298.1201
2023-03-24 05:00:00 var129 293.1375
2023-03-24 05:00:00 var161 73.91939
2023-03-24 06:00:00 var128 297.7783
2023-03-24 06:00:00 var129 293.053
2023-03-24 06:00:00 var161 75.04637
2023-03-24 07:00:00 var128 297.4739
2023-03-24 07:00:00 var129 292.7244
2023-03-24 07:00:00 var161 74.88504
2023-03-24 08:00:00 var128 297.3298
2023-03-24 08:00:00 var129 292.6145
2023-03-24 08:00:00 var161 75.02249
2023-03-24 09:00:00 var128 297.4929
2023-03-24 09:00:00 var129 293.0413
2023-03-24 09:00:00 var161 76.282
2023-03-24 10:00:00 var128 297.5876
2023-03-24 10:00:00 var129 293.2253
2023-03-24 10:00:00 var161 76.72481
2023-03-24 11:00:00 var128 297.6016
2023-03-24 11:00:00 var129 293.387
2023-03-24 11:00:00 var161 77.4249
2023-03-24 12:00:00 var128 298.1111
2023-03-24 12:00:00 var129 293.1543
2023-03-24 12:00:00 var161 74.03523
2023-03-24 13:00:00 var128 298.4385
2023-03-24 13:00:00 var129 293.6646
2023-03-24 13:00:00 var161 74.93399
2023-03-24 14:00:00 var128 298.7925
2023-03-24 14:00:00 var129 293.9954
2023-03-24 14:00:00 var161 74.88588
2023-03-24 15:00:00 var128 298.9543
2023-03-24 15:00:00 var129 293.7996
2023-03-24 15:00:00 var161 73.28601
2023-03-24 16:00:00 var128 299.2734
2023-03-24 16:00:00 var129 293.8169
2023-03-24 16:00:00 var161 71.99232
2023-03-24 17:00:00 var128 299.5393
2023-03-24 17:00:00 var129 293.8687
2023-03-24 17:00:00 var161 71.0974
2023-03-24 18:00:00 var128 299.7366
2023-03-24 18:00:00 var129 293.918
2023-03-24 18:00:00 var161 70.49335
2023-03-24 19:00:00 var128 299.884
2023-03-24 19:00:00 var129 293.928
2023-03-24 19:00:00 var161 69.93156
2023-03-24 20:00:00 var128 299.9731
2023-03-24 20:00:00 var129 293.917
2023-03-24 20:00:00 var161 69.51735
2023-03-24 21:00:00 var128 299.9441
2023-03-24 21:00:00 var129 293.7996
2023-03-24 21:00:00 var161 69.13124
2023-03-24 22:00:00 var128 299.7776
2023-03-24 22:00:00 var129 293.5696
2023-03-24 22:00:00 var161 68.83186
2023-03-24 23:00:00 var128 299.335
2023-03-24 23:00:00 var129 293.7734
2023-03-24 23:00:00 var161 71.53996
2023-03-25 00:00:00 var128 298.3772
2023-03-25 00:00:00 var129 293.199
2023-03-25 00:00:00 var161 73.07469
2023-03-25 01:00:00 var128 298.2588
2023-03-25 01:00:00 var129 293.3513
2023-03-25 01:00:00 var161 74.28749
2023-03-25 02:00:00 var128 298.0918
2023-03-25 02:00:00 var129 293.2837
2023-03-25 02:00:00 var161 74.71452
2023-03-25 03:00:00 var128 297.936
2023-03-25 03:00:00 var129 293.1082
2023-03-25 03:00:00 var161 74.60011
2023-03-25 04:00:00 var128 297.7266
2023-03-25 04:00:00 var129 292.8589
2023-03-25 04:00:00 var161 74.38208
2023-03-25 05:00:00 var128 297.5071
2023-03-25 05:00:00 var129 292.6775
2023-03-25 05:00:00 var161 74.52092
2023-03-25 06:00:00 var128 297.0229
2023-03-25 06:00:00 var129 292.0564
2023-03-25 06:00:00 var161 73.80637
2023-03-25 07:00:00 var128 296.7371
2023-03-25 07:00:00 var129 291.8425
2023-03-25 07:00:00 var161 74.08833
2023-03-25 08:00:00 var128 296.5015
2023-03-25 08:00:00 var129 291.7461
2023-03-25 08:00:00 var161 74.6927
2023-03-25 09:00:00 var128 296.4897
2023-03-25 09:00:00 var129 292.1284
2023-03-25 09:00:00 var161 76.55603
2023-03-25 10:00:00 var128 296.323
2023-03-25 10:00:00 var129 292.1804
2023-03-25 10:00:00 var161 77.57875
2023-03-25 11:00:00 var128 296.062
2023-03-25 11:00:00 var129 292.0225
2023-03-25 11:00:00 var161 78.0331
