fecha hora var lev value
2023-03-23 12:00:00 temp 1020 289.3533
2023-03-23 12:00:00 temp 1000 290.0139
2023-03-23 12:00:00 temp 950 295.6669
2023-03-23 12:00:00 temp 925 295.5529
2023-03-23 12:00:00 temp 900 294.705
2023-03-23 12:00:00 temp 850 291.4213
2023-03-23 12:00:00 temp 800 287.7902
2023-03-23 12:00:00 temp 750 284.5674
2023-03-23 12:00:00 temp 700 281.6786
2023-03-23 12:00:00 temp 650 278.4389
2023-03-23 12:00:00 temp 600 275.5841
2023-03-23 12:00:00 temp 550 271.9052
2023-03-23 12:00:00 temp 500 267.8099
2023-03-23 12:00:00 temp 450 263.1049
2023-03-23 12:00:00 temp 400 257.1602
2023-03-23 12:00:00 temp 350 250.2311
2023-03-23 12:00:00 temp 300 241.8922
2023-03-23 12:00:00 temp 250 231.6844
2023-03-23 12:00:00 temp 200 218.5956
2023-03-23 12:00:00 temp 150 203.8481
2023-03-23 12:00:00 temp 100 192.3762
2023-03-23 12:00:00 temp 50 207.1784
2023-03-23 13:00:00 temp 1020 289.5435
2023-03-23 13:00:00 temp 1000 288.6528
2023-03-23 13:00:00 temp 950 296.4786
2023-03-23 13:00:00 temp 925 295.7481
2023-03-23 13:00:00 temp 900 294.7432
2023-03-23 13:00:00 temp 850 291.6236
2023-03-23 13:00:00 temp 800 288.1705
2023-03-23 13:00:00 temp 750 285.0876
2023-03-23 13:00:00 temp 700 282.3708
2023-03-23 13:00:00 temp 650 279.4016
2023-03-23 13:00:00 temp 600 276.3518
2023-03-23 13:00:00 temp 550 272.5948
2023-03-23 13:00:00 temp 500 268.4225
2023-03-23 13:00:00 temp 450 263.6855
2023-03-23 13:00:00 temp 400 257.7786
2023-03-23 13:00:00 temp 350 250.7969
2023-03-23 13:00:00 temp 300 242.3801
2023-03-23 13:00:00 temp 250 232.0898
2023-03-23 13:00:00 temp 200 218.8572
2023-03-23 13:00:00 temp 150 203.5618
2023-03-23 13:00:00 temp 100 191.6595
2023-03-23 13:00:00 temp 50 204.9369
2023-03-23 14:00:00 temp 1020 289.7169
2023-03-23 14:00:00 temp 1000 288.847
2023-03-23 14:00:00 temp 950 297.2947
